|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|1. (15+) ve 6. (35-54) ve 23. (3 Yıl Ve Daha Fazla)|2014|25.0|29.0|31.0|29.0|23.0|13.0|12.0|10.0|16.0|20.0|21.0|18.0|
||2015|17.0|19.0|21.0|27.0|29.0|27.0|21.0|22.0|24.0|22.0|20.0|18.0|
||2016|23.0|20.0|21.0|24.0|34.0|37.0|37.0|31.0|31.0|31.0|29.0|29.0|
||2017|28.0|31.0|30.0|27.0|23.0|20.0|25.0|32.0|38.0|36.0|29.0|28.0|
||2018|30.0|30.0|29.0|26.0|29.0|29.0|35.0|41.0|41.0|44.0|42.0|48.0|
||2019|41.0|43.0|37.0|43.0|44.0|47.0|49.0|52.0|51.0|45.0|42.0|39.0|
||2020|58.0|59.0|55.0|38.0|36.0|41.0|52.0|61.0|68.0|70.0|67.0||
|1. (15+) ve 7. (55+) ve 11. (1-2 Ay)|2014|38.0|40.0|46.0|47.0|46.0|46.0|51.0|51.0|51.0|55.0|54.0|58.0|
||2015|52.0|44.0|43.0|38.0|38.0|37.0|33.0|44.0|48.0|55.0|52.0|46.0|
||2016|53.0|57.0|57.0|47.0|38.0|48.0|59.0|67.0|64.0|57.0|56.0|55.0|
||2017|61.0|63.0|58.0|58.0|65.0|74.0|76.0|64.0|61.0|51.0|59.0|64.0|
||2018|65.0|57.0|49.0|60.0|62.0|57.0|59.0|65.0|73.0|78.0|80.0|90.0|
||2019|84.0|77.0|64.0|58.0|64.0|64.0|77.0|72.0|72.0|64.0|68.0|71.0|
||2020|62.0|64.0|56.0|56.0|47.0|55.0|59.0|57.0|55.0|54.0|53.0||
|1. (15+) ve 7. (55+) ve 12. (3-5 Ay)|2014|39.0|39.0|37.0|26.0|25.0|23.0|19.0|14.0|17.0|32.0|38.0|40.0|
||2015|40.0|43.0|38.0|36.0|33.0|31.0|23.0|19.0|28.0|38.0|39.0|37.0|
||2016|29.0|35.0|31.0|32.0|27.0|28.0|27.0|32.0|38.0|44.0|43.0|40.0|
||2017|43.0|43.0|44.0|37.0|37.0|33.0|31.0|26.0|23.0|29.0|37.0|40.0|
||2018|54.0|57.0|60.0|45.0|41.0|43.0|37.0|27.0|23.0|34.0|51.0|67.0|
||2019|66.0|72.0|64.0|61.0|48.0|34.0|42.0|38.0|46.0|40.0|45.0|46.0|
||2020|55.0|56.0|49.0|33.0|39.0|50.0|64.0|52.0|37.0|27.0|29.0||
|1. (15+) ve 7. (55+) ve 13. (6-8 Ay)|2014|8.0|9.0|9.0|13.0|17.0|19.0|12.0|8.0|14.0|16.0|15.0|9.0|
||2015|13.0|17.0|21.0|23.0|20.0|20.0|18.0|20.0|16.0|18.0|15.0|17.0|
||2016|18.0|18.0|20.0|19.0|21.0|19.0|14.0|13.0|12.0|13.0|13.0|18.0|
||2017|23.0|25.0|22.0|22.0|19.0|16.0|14.0|15.0|20.0|18.0|17.0|17.0|
||2018|22.0|25.0|28.0|28.0|28.0|21.0|19.0|19.0|16.0|17.0|19.0|27.0|
||2019|35.0|45.0|44.0|34.0|24.0|31.0|30.0|31.0|21.0|25.0|24.0|27.0|
||2020|30.0|32.0|24.0|19.0|22.0|28.0|28.0|31.0|34.0|40.0|33.0||
|1. (15+) ve 7. (55+) ve 14. (9-11 Ay)|2014|3.0|3.0|3.0|2.0|4.0|5.0|5.0|3.0|4.0|4.0|5.0|3.0|
||2015|5.0|3.0|6.0|6.0|9.0|6.0|3.0|2.0|4.0|3.0|4.0|5.0|
||2016|6.0|8.0|7.0|7.0|5.0|5.0|4.0|4.0|3.0|3.0|3.0|6.0|
||2017|5.0|7.0|5.0|5.0|4.0|6.0|6.0|6.0|4.0|3.0|5.0|6.0|
||2018|8.0|10.0|10.0|10.0|5.0|7.0|8.0|10.0|11.0|12.0|9.0|10.0|
||2019|8.0|13.0|14.0|17.0|15.0|13.0|10.0|8.0|5.0|6.0|5.0|4.0|
||2020|3.0|5.0|11.0|14.0|17.0|12.0|11.0|8.0|14.0|14.0|13.0||
|1. (15+) ve 7. (55+) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|21.0|24.0|28.0|29.0|28.0|24.0|27.0|32.0|34.0|34.0|29.0|29.0|
||2015|30.0|38.0|47.0|45.0|38.0|41.0|43.0|52.0|53.0|50.0|55.0|55.0|
||2016|51.0|41.0|36.0|42.0|48.0|38.0|35.0|32.0|41.0|37.0|41.0|41.0|
||2017|50.0|51.0|50.0|47.0|44.0|39.0|34.0|34.0|34.0|38.0|39.0|46.0|
||2018|57.0|61.0|55.0|45.0|41.0|43.0|43.0|41.0|43.0|41.0|45.0|46.0|
||2019|58.0|61.0|57.0|43.0|40.0|48.0|54.0|55.0|62.0|64.0|65.0|59.0|
||2020|58.0|52.0|45.0|37.0|35.0|46.0|51.0|51.0|48.0|49.0|51.0||
