|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2019|326.0|350.0|334.0|259.0|208.0|173.0|180.0|186.0|192.0|196.0|210.0|230.0|
||2020|260.0|256.0|221.0|219.0|244.0|288.0|287.0|222.0|159.0|128.0|130.0||
|1. (15+) ve 22. (İlkokul) ve 13. (6-8 Ay)|2014|66.0|68.0|71.0|70.0|68.0|63.0|55.0|55.0|55.0|54.0|56.0|68.0|
||2015|79.0|98.0|99.0|100.0|81.0|71.0|64.0|61.0|67.0|65.0|69.0|73.0|
||2016|82.0|93.0|90.0|82.0|72.0|65.0|60.0|66.0|75.0|81.0|85.0|86.0|
||2017|96.0|98.0|101.0|87.0|78.0|60.0|61.0|61.0|63.0|55.0|46.0|55.0|
||2018|69.0|80.0|86.0|88.0|89.0|74.0|54.0|49.0|53.0|68.0|76.0|88.0|
||2019|106.0|132.0|152.0|156.0|130.0|115.0|101.0|105.0|96.0|89.0|99.0|104.0|
||2020|110.0|113.0|108.0|103.0|106.0|114.0|114.0|110.0|110.0|131.0|121.0||
|1. (15+) ve 22. (İlkokul) ve 14. (9-11 Ay)|2014|14.0|12.0|19.0|20.0|26.0|19.0|22.0|20.0|22.0|19.0|16.0|18.0|
||2015|17.0|24.0|25.0|38.0|38.0|33.0|19.0|12.0|14.0|18.0|20.0|19.0|
||2016|20.0|23.0|27.0|33.0|30.0|30.0|22.0|23.0|23.0|28.0|29.0|29.0|
||2017|22.0|24.0|26.0|30.0|33.0|32.0|29.0|21.0|15.0|17.0|20.0|26.0|
||2018|29.0|30.0|26.0|27.0|29.0|32.0|32.0|30.0|29.0|22.0|20.0|19.0|
||2019|23.0|31.0|35.0|38.0|34.0|35.0|43.0|49.0|46.0|42.0|45.0|38.0|
||2020|37.0|32.0|37.0|40.0|41.0|43.0|42.0|36.0|38.0|38.0|48.0||
|1. (15+) ve 22. (İlkokul) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|94.0|98.0|103.0|104.0|104.0|98.0|85.0|89.0|91.0|91.0|89.0|94.0|
||2015|97.0|105.0|114.0|119.0|102.0|101.0|96.0|108.0|103.0|114.0|130.0|134.0|
||2016|127.0|105.0|104.0|110.0|112.0|102.0|90.0|86.0|104.0|116.0|126.0|124.0|
||2017|132.0|138.0|135.0|116.0|109.0|98.0|99.0|86.0|95.0|98.0|100.0|103.0|
||2018|105.0|107.0|99.0|99.0|105.0|104.0|111.0|104.0|117.0|117.0|122.0|109.0|
||2019|108.0|121.0|123.0|121.0|101.0|108.0|117.0|134.0|142.0|155.0|163.0|180.0|
||2020|168.0|150.0|110.0|95.0|96.0|117.0|116.0|110.0|111.0|112.0|111.0||
|1. (15+) ve 22. (İlkokul) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|34.0|33.0|27.0|38.0|40.0|37.0|29.0|26.0|28.0|27.0|31.0|31.0|
||2015|31.0|26.0|22.0|23.0|33.0|34.0|36.0|32.0|33.0|31.0|33.0|32.0|
||2016|36.0|29.0|28.0|20.0|20.0|22.0|22.0|24.0|23.0|28.0|27.0|30.0|
||2017|32.0|31.0|29.0|23.0|23.0|23.0|22.0|26.0|33.0|37.0|39.0|39.0|
||2018|32.0|28.0|25.0|26.0|23.0|21.0|25.0|27.0|29.0|40.0|40.0|43.0|
||2019|38.0|39.0|38.0|36.0|43.0|36.0|40.0|42.0|56.0|57.0|48.0|40.0|
||2020|33.0|31.0|25.0|18.0|19.0|21.0|31.0|35.0|39.0|38.0|43.0||
|1. (15+) ve 22. (İlkokul) ve 23. (3 Yıl Ve Daha Fazla)|2014|14.0|14.0|17.0|14.0|12.0|8.0|9.0|10.0|8.0|8.0|12.0|12.0|
||2015|15.0|12.0|15.0|15.0|18.0|13.0|10.0|13.0|15.0|17.0|14.0|13.0|
||2016|14.0|10.0|9.0|8.0|14.0|15.0|17.0|18.0|25.0|29.0|26.0|23.0|
||2017|18.0|18.0|16.0|12.0|12.0|13.0|17.0|14.0|15.0|15.0|23.0|23.0|
||2018|25.0|19.0|20.0|21.0|22.0|22.0|21.0|25.0|24.0|24.0|19.0|16.0|
||2019|14.0|15.0|18.0|24.0|33.0|36.0|38.0|31.0|32.0|26.0|27.0|20.0|
||2020|29.0|24.0|24.0|12.0|14.0|14.0|15.0|19.0|24.0|30.0|30.0||
|1. (15+) ve 23. (İlköğretim) ve 11. (1-2 Ay)|2014|209.0|206.0|209.0|191.0|197.0|212.0|250.0|247.0|255.0|242.0|242.0|261.0|
||2015|247.0|226.0|187.0|182.0|224.0|245.0|263.0|229.0|223.0|234.0|243.0|251.0|
||2016|242.0|214.0|190.0|173.0|191.0|221.0|218.0|218.0|201.0|207.0|226.0|244.0|
||2017|250.0|228.0|180.0|158.0|162.0|184.0|187.0|185.0|167.0|194.0|196.0|203.0|
||2018|182.0|177.0|167.0|145.0|149.0|162.0|195.0|199.0|210.0|199.0|244.0|248.0|
||2019|260.0|200.0|185.0|158.0|175.0|167.0|207.0|196.0|203.0|190.0|190.0|191.0|
||2020|185.0|180.0|198.0|184.0|179.0|141.0|126.0|116.0|123.0|132.0|153.0||
|1. (15+) ve 23. (İlköğretim) ve 12. (3-5 Ay)|2014|123.0|117.0|112.0|97.0|107.0|99.0|91.0|81.0|95.0|107.0|121.0|124.0|
||2015|147.0|154.0|145.0|119.0|95.0|87.0|78.0|91.0|95.0|109.0|106.0|113.0|
||2016|121.0|126.0|111.0|84.0|75.0|67.0|81.0|88.0|99.0|109.0|111.0|149.0|
||2017|153.0|165.0|124.0|96.0|69.0|73.0|79.0|82.0|88.0|80.0|72.0|70.0|
||2018|94.0|110.0|98.0|88.0|72.0|72.0|58.0|71.0|89.0|120.0|115.0|111.0|
||2019|136.0|172.0|180.0|147.0|118.0|113.0|105.0|97.0|96.0|107.0|122.0|121.0|
||2020|123.0|111.0|108.0|105.0|106.0|125.0|129.0|121.0|100.0|80.0|79.0||
|1. (15+) ve 23. (İlköğretim) ve 13. (6-8 Ay)|2014|39.0|45.0|45.0|49.0|39.0|34.0|37.0|36.0|39.0|37.0|34.0|43.0|
||2015|42.0|49.0|44.0|45.0|33.0|29.0|25.0|29.0|32.0|29.0|32.0|36.0|
||2016|48.0|52.0|47.0|39.0|34.0|37.0|38.0|44.0|40.0|44.0|40.0|48.0|
||2017|57.0|62.0|68.0|50.0|41.0|22.0|24.0|29.0|33.0|32.0|33.0|37.0|
||2018|41.0|38.0|38.0|38.0|31.0|31.0|26.0|30.0|24.0|27.0|41.0|58.0|
||2019|66.0|70.0|68.0|65.0|67.0|58.0|53.0|32.0|30.0|31.0|45.0|55.0|
||2020|55.0|56.0|52.0|56.0|50.0|51.0|59.0|58.0|50.0|42.0|41.0||
|1. (15+) ve 23. (İlköğretim) ve 14. (9-11 Ay)|2014|11.0|12.0|11.0|13.0|16.0|21.0|17.0|14.0|7.0|12.0|13.0|18.0|
||2015|14.0|11.0|11.0|11.0|16.0|15.0|16.0|15.0|11.0|11.0|10.0|10.0|
||2016|7.0|13.0|17.0|23.0|18.0|15.0|12.0|13.0|13.0|13.0|11.0|9.0|
||2017|12.0|13.0|18.0|22.0|20.0|14.0|6.0|5.0|6.0|10.0|9.0|12.0|
||2018|10.0|13.0|13.0|13.0|11.0|10.0|8.0|6.0|7.0|10.0|12.0|14.0|
||2019|13.0|14.0|13.0|17.0|20.0|20.0|22.0|23.0|26.0|22.0|20.0|13.0|
||2020|16.0|23.0|28.0|20.0|19.0|16.0|15.0|15.0|12.0|15.0|19.0||
|1. (15+) ve 23. (İlköğretim) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|41.0|36.0|45.0|53.0|47.0|41.0|31.0|42.0|48.0|48.0|41.0|42.0|
||2015|58.0|56.0|55.0|48.0|50.0|50.0|54.0|49.0|52.0|45.0|54.0|43.0|
||2016|48.0|40.0|48.0|47.0|60.0|57.0|55.0|47.0|44.0|48.0|50.0|52.0|
||2017|62.0|55.0|47.0|34.0|34.0|45.0|43.0|43.0|35.0|40.0|36.0|39.0|
||2018|39.0|42.0|40.0|43.0|40.0|40.0|30.0|33.0|35.0|31.0|30.0|42.0|
||2019|55.0|58.0|50.0|52.0|57.0|64.0|70.0|69.0|63.0|57.0|67.0|75.0|
||2020|80.0|70.0|57.0|41.0|40.0|44.0|51.0|48.0|45.0|48.0|47.0||
|1. (15+) ve 23. (İlköğretim) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|13.0|15.0|12.0|15.0|13.0|12.0|14.0|12.0|13.0|12.0|11.0|9.0|
||2015|5.0|8.0|8.0|12.0|12.0|18.0|18.0|16.0|10.0|5.0|7.0|8.0|
||2016|8.0|4.0|4.0|5.0|9.0|11.0|14.0|11.0|13.0|13.0|19.0|17.0|
||2017|10.0|9.0|8.0|14.0|10.0|9.0|4.0|6.0|7.0|9.0|11.0|9.0|
||2018|10.0|9.0|10.0|10.0|8.0|9.0|10.0|11.0|9.0|8.0|6.0|6.0|
||2019|7.0|12.0|16.0|17.0|14.0|10.0|6.0|8.0|10.0|16.0|18.0|17.0|
||2020|15.0|18.0|16.0|16.0|16.0|18.0|21.0|18.0|17.0|17.0|17.0||
|1. (15+) ve 23. (İlköğretim) ve 23. (3 Yıl Ve Daha Fazla)|2014|5.0|6.0|6.0|4.0|5.0|4.0|4.0|2.0|2.0|5.0|4.0|4.0|
||2015|2.0|3.0|6.0|7.0|6.0|3.0|2.0|2.0|4.0|3.0|2.0|1.0|
||2016|3.0|4.0|5.0|4.0|6.0|8.0|9.0|10.0|7.0|6.0|2.0|3.0|
||2017|4.0|5.0|6.0|4.0|3.0|0.0|4.0|6.0|10.0|7.0|5.0|2.0|
||2018|2.0|4.0|5.0|7.0|6.0|7.0|5.0|5.0|3.0|4.0|4.0|6.0|
||2019|6.0|4.0|3.0|4.0|4.0|3.0|3.0|5.0|5.0|5.0|5.0|7.0|
||2020|7.0|5.0|5.0|4.0|7.0|8.0|9.0|7.0|6.0|3.0|4.0||
|1. (15+) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 11. (1-2 Ay)|2014|79.0|86.0|83.0|74.0|70.0|84.0|82.0|87.0|85.0|97.0|94.0|100.0|
||2015|94.0|94.0|91.0|81.0|95.0|111.0|137.0|128.0|122.0|114.0|116.0|127.0|
||2016|128.0|120.0|101.0|117.0|157.0|186.0|185.0|155.0|135.0|142.0|157.0|177.0|
||2017|154.0|149.0|127.0|133.0|164.0|200.0|236.0|200.0|169.0|133.0|132.0|141.0|
||2018|145.0|140.0|119.0|138.0|194.0|234.0|257.0|215.0|208.0|196.0|224.0|238.0|
||2019|228.0|198.0|176.0|177.0|249.0|291.0|345.0|289.0|258.0|214.0|215.0|212.0|
||2020|187.0|200.0|196.0|208.0|191.0|193.0|206.0|179.0|177.0|160.0|174.0||
|1. (15+) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 12. (3-5 Ay)|2014|60.0|69.0|67.0|41.0|48.0|47.0|50.0|40.0|55.0|57.0|66.0|60.0|
||2015|69.0|70.0|65.0|57.0|44.0|43.0|46.0|54.0|55.0|53.0|55.0|62.0|
||2016|69.0|68.0|69.0|70.0|64.0|69.0|69.0|73.0|69.0|70.0|77.0|88.0|
||2017|108.0|100.0|96.0|80.0|75.0|52.0|54.0|54.0|72.0|73.0|80.0|79.0|
||2018|73.0|81.0|79.0|83.0|70.0|66.0|60.0|82.0|96.0|110.0|105.0|125.0|
||2019|150.0|169.0|168.0|157.0|137.0|113.0|107.0|103.0|106.0|117.0|115.0|139.0|
||2020|147.0|145.0|127.0|113.0|139.0|166.0|164.0|144.0|101.0|101.0|105.0||
|1. (15+) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 13. (6-8 Ay)|2014|26.0|28.0|27.0|31.0|24.0|21.0|16.0|20.0|22.0|18.0|16.0|23.0|
||2015|27.0|30.0|31.0|34.0|30.0|32.0|30.0|35.0|31.0|30.0|28.0|27.0|
||2016|20.0|25.0|30.0|32.0|26.0|21.0|25.0|25.0|27.0|26.0|28.0|33.0|
||2017|45.0|49.0|50.0|43.0|34.0|26.0|23.0|22.0|26.0|25.0|29.0|29.0|
||2018|40.0|43.0|46.0|37.0|34.0|29.0|25.0|23.0|20.0|14.0|19.0|31.0|
||2019|49.0|57.0|55.0|65.0|58.0|64.0|61.0|62.0|54.0|40.0|41.0|52.0|
||2020|66.0|72.0|66.0|70.0|70.0|75.0|70.0|76.0|80.0|83.0|78.0||
|1. (15+) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 14. (9-11 Ay)|2014|6.0|9.0|10.0|8.0|4.0|4.0|7.0|10.0|10.0|8.0|6.0|5.0|
||2015|7.0|9.0|9.0|13.0|12.0|13.0|5.0|6.0|6.0|9.0|9.0|10.0|
||2016|8.0|8.0|8.0|6.0|5.0|8.0|12.0|14.0|12.0|9.0|6.0|3.0|
||2017|6.0|9.0|14.0|14.0|12.0|11.0|12.0|14.0|13.0|15.0|10.0|12.0|
||2018|14.0|15.0|21.0|19.0|20.0|14.0|13.0|11.0|11.0|9.0|12.0|8.0|
||2019|9.0|14.0|17.0|25.0|23.0|21.0|18.0|24.0|25.0|19.0|15.0|12.0|
||2020|15.0|11.0|19.0|25.0|33.0|39.0|34.0|27.0|14.0|18.0|28.0||
